ga:pagePath;ga:date;ga:visitLength;ga:visits;ga:visitors;ga:avgTimeOnPage;ga:pageviews;ga:timeOnPage;ga:uniquepageviews
/;20090923;0;6;5;0.0;6;0.0;6
/;20090923;11;1;1;11.0;2;11.0;1
/;20090923;119;1;1;30.0;1;30.0;1
/;20090923;144;1;1;71.5;3;143.0;1
/;20090923;336;1;1;168.0;3;336.0;1
/;20090923;343;1;1;68.6;6;343.0;1
/;20090923;41;1;1;14.0;4;42.0;1
/;20090923;6;1;1;6.0;2;6.0;1
/;20090923;611;1;1;611.0;2;611.0;1
/;20090923;730;1;1;189,666666666666000;4;569.0;1
/;20090923;776;1;1;76,666666666666600;9;690.0;1
/;20090924;0;21;21;0.0;21;0.0;21
/;20090924;106;1;1;24.0;1;24.0;1
/;20090924;149;1;1;74.5;2;149.0;1
/;20090924;167;1;1;12.0;1;12.0;1
/;20090924;17;1;1;17.0;1;17.0;1
/;20090924;213;1;1;29.0;1;29.0;1
/;20090924;243;1;1;15.0;3;45.0;1
/;20090924;27;2;2;21.0;3;42.0;2
/;20090924;30;2;2;13.0;2;26.0;2
/;20090924;34;1;1;34.0;2;34.0;1
/;20090924;37;1;1;17.0;1;17.0;1
/;20090924;41;1;1;14.0;1;14.0;1
/;20090924;438;1;1;112.0;1;112.0;1
/;20090924;47;1;1;24.0;2;48.0;1
/;20090924;477;1;1;477.0;1;477.0;1
/;20090924;48;1;1;37.0;1;37.0;1
/;20090924;52;1;1;26.0;2;52.0;1
/;20090924;55;1;1;15.0;1;15.0;1
/;20090924;572;1;1;238.0;2;476.0;1
/;20090924;587;1;1;17.0;1;17.0;1
/;20090924;6;1;1;6.0;1;6.0;1
/;20090924;67;1;1;44.0;1;44.0;1
/;20090924;68;1;1;29.0;1;29.0;1
/;20090924;69;1;1;33.0;1;33.0;1
/;20090924;70;1;1;19.0;2;19.0;1
/;20090924;81;1;1;61.0;1;61.0;1
/;20090925;0;37;37;0.0;38;0.0;37
/;20090925;108;1;1;83.0;2;83.0;1
/;20090925;11;2;2;11.0;3;22.0;2
/;20090925;113;1;1;25.0;1;25.0;1
/;20090925;121;1;1;37.0;2;37.0;1
/;20090925;122;1;1;122.0;2;122.0;1
/;20090925;130;1;1;44.0;2;88.0;1
/;20090925;15;1;1;15.0;2;15.0;1
/;20090925;150;1;1;8.0;1;8.0;1
/;20090925;151;1;1;128.0;1;128.0;1
/;20090925;165;1;1;87.0;1;87.0;1
/;20090925;20;1;1;20.0;2;20.0;1
/;20090925;201;1;1;28.6;5;143.0;1
/;20090925;202;1;1;34.5;3;69.0;1
/;20090925;205;1;1;58.0;2;116.0;1
/;20090925;206;1;1;14.25;4;57.0;1
/;20090925;217;1;1;55.0;1;55.0;1
/;20090925;219;1;1;20.0;1;20.0;1
/;20090925;240;1;1;103.0;2;206.0;1
/;20090925;2471;1;1;23.0;1;23.0;1
/;20090925;2656;1;1;177.0;2;177.0;1
/;20090925;283;1;1;19.0;1;19.0;1
/;20090925;29;1;1;14.0;1;14.0;1
/;20090925;330;1;1;125.0;2;250.0;1
/;20090925;34;1;1;10.0;1;10.0;1
/;20090925;349;1;1;86.5;5;346.0;1
/;20090925;357;1;1;25.5;2;51.0;1
/;20090925;363;1;1;49.0;1;49.0;1
/;20090925;364;1;1;42.0;2;84.0;1
/;20090925;373;1;1;9.0;2;9.0;1
/;20090925;428;1;1;428.0;2;428.0;1
/;20090925;43;1;1;43.0;1;43.0;1
/;20090925;45;1;1;45.0;1;45.0;1
/;20090925;47;1;1;32.0;1;32.0;1
/;20090925;473;1;1;22,666666666666600;3;68.0;1
/;20090925;50;1;1;23.0;1;23.0;1
/;20090925;51;1;1;26.0;3;52.0;1
/;20090925;516;1;1;4.0;1;4.0;1
/;20090925;53;1;1;30.0;2;30.0;1
/;20090925;55;1;1;45.0;2;45.0;1
/;20090925;62;1;1;21.0;1;21.0;1
/;20090925;63;1;1;30.0;1;30.0;1
/;20090925;64;1;1;57.0;1;57.0;1
/;20090925;68;1;1;14.0;1;14.0;1
/;20090925;7;1;1;2.0;1;2.0;1
/;20090925;7217;1;1;4.0;1;4.0;1
/;20090925;740;1;1;33,333333333333300;3;100.0;1
/;20090925;764;1;1;764.0;1;764.0;1
/;20090925;803;1;1;174,333333333333000;3;523.0;1
/;20090925;82;1;1;51.0;2;51.0;1
/;20090925;91;1;1;20.0;1;20.0;1
/;20090925;919;1;1;38.0;1;38.0;1
/;20090925;95;1;1;55.0;1;55.0;1
/;20090925;991;1;1;17.0;1;17.0;1
/;20090926;0;14;14;0.0;14;0.0;14
/;20090926;102;1;1;12.0;1;12.0;1
/;20090926;128;1;1;128.0;2;128.0;1
/;20090926;13;1;1;13.0;1;13.0;1
/;20090926;175;1;1;6.0;1;6.0;1
/;20090926;253;1;1;13.0;1;13.0;1
/;20090926;255;1;1;69.5;2;139.0;1
/;20090926;26;1;1;26.0;2;26.0;1
/;20090926;32;1;1;10.0;2;10.0;1
